timestamp;energy_used;solar_produced
1581066000;2.3;2.47
1581069600;0.876;2.65
1581073200;2.062;2.71
1581076800;3.298;2.42
1581080400;1.88;1.88
1581084000;0.634;1.62
1581087600;1.485;1.07
1581091200;3.492;0.06
1581094800;1.684;0
1581098400;0.707;0
1581102000;1.437;0
1581105600;2.66;0
1581109200;2.012;0
1581112800;1.017;0
1581116400;1.24;0
1581120000;2.559;0
1581123600;1.916;0
1581127200;0.666;0
1581130800;0.777;0
1581134400;2.525;0
1581138000;2.126;0
1581141600;0.688;0
1581145200;2.189;0.07
1581148800;2.076;0.39
1581152400;2.311;0.38
1581156000;1.458;0.47
1581159600;0.443;0.23
1581163200;1.196;0.27
1581166800;2.33;0.18
1581170400;1.256;0.39
1581174000;0.412;0.18
1581177600;0.922;0.03
1581181200;2.493;0
1581184800;2.395;0
1581188400;2.433;0
1581192000;2.418;0
1581195600;1.731;0
1581199200;0.745;0
1581202800;1.274;0
1581206400;2.264;0
1581210000;1.528;0
1581213600;0.432;0
1581217200;0.698;0
1581220800;2.24;0
1581224400;1.816;0
1581228000;0.473;0
1581231600;0.545;0.02
1581235200;4.042;0.25
1581238800;3.065;0.36
1581242400;0.89;0.58
1581246000;0.237;0.54
1581249600;1.998;0.49
1581253200;3.037;0.28
1581256800;1.205;0.1
1581260400;0.924;0.01
1581264000;1.588;0
1581267600;2.216;0
1581271200;0.912;0
1581274800;0.512;0
1581278400;1.185;0
1581282000;2.372;0
1581285600;1.276;0
1581289200;0.414;0
1581292800;0.691;0
1581296400;2.276;0
1581300000;1.747;0
1581303600;0.461;0
1581307200;0.585;0
1581310800;2.438;0
1581314400;3.636;0
1581318000;0.76;0.15
1581321600;0.644;0.54
1581325200;1.686;1.41
1581328800;3.346;1.84
1581332400;0.418;1.97
1581336000;0.228;2.13
1581339600;0.877;2.02
1581343200;2.051;0.88
1581346800;1.22;0.16
1581350400;2.31;0.01
1581354000;1.772;0
1581357600;3.502;0
1581361200;1.773;0
1581364800;0.343;0
1581368400;0.598;0
1581372000;2.182;0
1581375600;2.183;0
1581379200;0.598;0
1581382800;1.83;0
1581386400;2.536;0
1581390000;2.328;0
1581393600;0.585;0
1581397200;0.686;0
1581400800;3.162;0
1581404400;3.409;0.12
1581408000;1.269;0.71
1581411600;0.322;1.21
1581415200;1.64;2.14
1581418800;2.344;2.04
1581422400;0.331;1.91
1581426000;0.228;1.26
1581429600;1.158;0.76
1581433200;2.666;0.57
1581436800;2.002;0.12
1581440400;1.735;0
1581444000;1.655;0
1581447600;3.013;0
1581451200;2.484;0
1581454800;0.58;0
1581458400;0.784;0
1581462000;2.551;0
1581465600;1.986;0
1581469200;0.682;0
1581472800;0.917;0
1581476400;2.52;0
1581480000;2.158;0
1581483600;0.678;0
1581487200;1.715;0
1581490800;3.204;0.17
1581494400;2.306;0.56
1581498000;0.641;1.07
1581501600;0.501;1.37
1581505200;2.674;1.69
1581508800;2.696;2.39
1581512400;0.306;1.67
1581516000;0.281;1.04
1581519600;1.716;0.46
1581523200;3.083;0.04
1581526800;0.884;0
1581530400;0.388;0
1581534000;1.356;0
1581537600;2.748;0
1581541200;1.891;0
1581544800;1.332;0
1581548400;1.353;0
1581552000;2.437;0
1581555600;1.681;0
1581559200;0.654;0
1581562800;1.117;0
1581566400;2.473;0
1581570000;3.084;0
1581573600;0.953;0
1581577200;2.097;0
1581580800;3.558;0.04
1581584400;1.915;0.09
1581588000;0.327;0.12
1581591600;0.914;1.27
1581595200;2.367;1.26
1581598800;2.117;0.92
1581602400;0.68;0.32
1581606000;0.776;0.19
1581609600;2.124;0.01
1581613200;2.382;0
1581616800;1.021;0
1581620400;0.591;0
1581624000;1.513;0
1581627600;3.004;0
1581631200;2.886;0
1581634800;0.567;0
1581638400;1.085;0
1581642000;2.22;0
1581645600;1.461;0
1581649200;0.636;0
1581652800;0.942;0
1581656400;2.517;0
1581660000;2.982;0
1581663600;1.753;0.03
1581667200;1.526;0.29
1581670800;3.958;1.14
1581674400;1.832;1.33
1581678000;0.201;1.29
1581681600;0.268;1.25
1581685200;1.38;1.92
1581688800;1.98;1.44
1581692400;0.957;0.34
1581696000;0.957;0.05
1581699600;1.386;0
1581703200;2.32;0
1581706800;2.53;0
1581710400;2.374;0
1581714000;2.268;0
1581717600;2.105;0
1581721200;0.385;0
1581724800;0.441;0
1581728400;1.755;0
1581732000;2.364;0
1581735600;0.538;0
1581739200;0.484;0
1581742800;1.57;0
1581746400;2.391;0
1581750000;2.519;0.07
1581753600;1.391;0.33
1581757200;2.857;0.56
1581760800;2.337;1.06
1581764400;1.039;1.31
1581768000;0.507;1.54
1581771600;1.009;1.28
1581775200;2.288;0.63
1581778800;2.336;0.43
1581782400;1.402;0.03
1581786000;0.658;0
1581789600;2.431;0
1581793200;1.92;0
1581796800;0.559;0
1581800400;0.575;0
1581804000;1.707;0
1581807600;2.263;0
1581811200;0.482;0
1581814800;0.354;0
1581818400;1.141;0
1581822000;2.194;0
1581825600;1.006;0
1581829200;0.387;0
1581832800;0.772;0
1581836400;2.306;0
1581840000;2.194;0.07
1581843600;1.587;0.42
1581847200;1.572;0.62
1581850800;2.641;0.57
1581854400;1.734;0.61
1581858000;0.215;0.54
1581861600;0.165;0.34
1581865200;1.279;0.1
1581868800;3.161;0.01
1581872400;0.646;0
1581876000;0.334;0
1581879600;1.389;0
1581883200;2.264;0
1581886800;0.9;0
1581890400;0.558;0
1581894000;0.831;0
1581897600;2.182;0
1581901200;1.623;0
1581904800;0.548;0
1581908400;0.648;0
1581912000;2.187;0
1581915600;1.886;0
1581919200;2.964;0
1581922800;2.429;0.52
1581926400;2.532;1.78
1581930000;1.403;1.63
1581933600;0.263;2.35
1581937200;0.691;1
1581940800;2.472;2.02
1581944400;1.474;2.26
1581948000;0.243;0.98
1581951600;0.63;1
1581955200;2.76;0.12
1581958800;2.299;0
1581962400;0.38;0
1581966000;1.753;0
1581969600;2.626;0
1581973200;2.219;0
1581976800;0.596;0
1581980400;0.447;0
1581984000;1.57;0
1581987600;2.162;0
1581991200;0.918;0
1581994800;0.59;0
1581998400;1.489;0
1582002000;2.513;0
1582005600;2.575;0
1582009200;1.995;0.33
1582012800;1.191;0.57
1582016400;2.684;1.05
1582020000;0.987;1.3
1582023600;0.506;1.67
1582027200;0.546;1.9
1582030800;2.258;2.12
1582034400;1.565;1.71
1582038000;0.175;0.84
1582041600;1.214;0.17
1582045200;2.405;0
1582048800;2.051;0
1582052400;0.611;0
1582056000;0.676;0
1582059600;2.579;0
1582063200;2.238;0
1582066800;0.993;0
1582070400;0.555;0
1582074000;1.791;0
1582077600;2.204;0
1582081200;0.706;0
1582084800;0.61;0
1582088400;1.973;0
1582092000;3.653;0
1582095600;1.99;0.49
1582099200;1.239;1.52
